hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
2,PREFLOP,3,0,60.666666666666664,2,0
3,PREFLOP,3,0,52.666666666666664,2,0
6,PREFLOP,3,0,54.666666666666664,2,0
6,FLOP,1,0,61.0,1,0
7,PREFLOP,3,0,40.666666666666664,2,0
13,PREFLOP,2,0,38.5,2,0
15,PREFLOP,3,0,37.0,2,1
18,PREFLOP,2,0,44.0,2,0
19,PREFLOP,3,0,65.0,2,0
20,PREFLOP,3,0,47.0,2,0
26,PREFLOP,2,0,57.0,2,0
30,PREFLOP,3,0,69.33333333333333,2,0
31,PREFLOP,3,0,34.666666666666664,2,0
32,PREFLOP,3,0,49.0,2,0
41,PREFLOP,3,0,68.66666666666667,2,0
44,PREFLOP,3,0,54.666666666666664,2,1
45,PREFLOP,3,0,45.666666666666664,2,0
