hand_id,player_0_action,player_0_amount,player_1_action,player_1_amount
texas(254),FOLD,0,FOLD,0
texas(255),FOLD,0,CALL,0
texas(256),FOLD,0,FOLD,0
texas(257),FOLD,0,CALL,0
texas(258),CALL,0,FOLD,0
texas(259),FOLD,0,CALL,0
texas(26),CALL,0,CALL,0
texas(260),FOLD,0,FOLD,0
texas(261),FOLD,0,FOLD,0
texas(262),CALL,0,FOLD,0
texas(263),FOLD,0,CALL,0
texas(264),FOLD,0,CALL,0
texas(265),CALL,0,FOLD,0
texas(266),FOLD,0,FOLD,0
texas(267),FOLD,0,FOLD,0
texas(268),CALL,0,FOLD,0
texas(269),FOLD,0,FOLD,0
texas(27),CALL,0,CALL,0
texas(270),CALL,0,FOLD,0
texas(271),FOLD,0,CALL,0
texas(272),CALL,0,FOLD,0
texas(273),CALL,0,FOLD,0
texas(274),FOLD,0,CALL,0
texas(275),CALL,0,FOLD,0
texas(276),FOLD,0,FOLD,0
texas(277),FOLD,0,FOLD,0
texas(278),FOLD,0,CALL,0
texas(279),FOLD,0,CALL,0
texas(28),FOLD,0,CALL,0
texas(280),FOLD,0,CALL,0
texas(281),CALL,0,FOLD,0
texas(282),FOLD,0,CALL,0
texas(283),CALL,0,FOLD,0
texas(284),FOLD,0,FOLD,0
texas(285),FOLD,0,FOLD,0
texas(286),FOLD,0,FOLD,0
texas(287),CALL,0,FOLD,0
texas(288),FOLD,0,FOLD,0
texas(289),FOLD,0,CALL,0
texas(29),CALL,0,CALL,0
texas(290),CALL,0,FOLD,0
texas(291),FOLD,0,FOLD,0
texas(292),FOLD,0,FOLD,0
texas(293),FOLD,0,CALL,0
texas(294),CALL,0,FOLD,0
texas(295),CALL,0,FOLD,0
texas(296),CALL,0,FOLD,0
texas(297),FOLD,0,CALL,0
texas(298),FOLD,0,CALL,0
texas(299),CALL,0,FOLD,0
texas(3),CALL,0,CALL,0
texas(30),CALL,0,CALL,0
texas(300),FOLD,0,CALL,0
texas(301),FOLD,0,FOLD,0
texas(302),FOLD,0,FOLD,0
texas(303),CALL,0,FOLD,0
texas(304),FOLD,0,FOLD,0
texas(305),FOLD,0,FOLD,0
texas(306),FOLD,0,FOLD,0
texas(307),CALL,0,FOLD,0
texas(308),CALL,0,FOLD,0
texas(309),FOLD,0,FOLD,0
texas(31),FOLD,0,CALL,0
texas(310),FOLD,0,CALL,0
texas(311),CALL,0,FOLD,0
texas(312),FOLD,0,CALL,0
texas(313),CALL,0,FOLD,0
texas(314),CALL,0,FOLD,0
texas(315),FOLD,0,FOLD,0
texas(316),FOLD,0,FOLD,0
texas(317),CALL,0,FOLD,0
texas(318),FOLD,0,FOLD,0
texas(319),FOLD,0,CALL,0
texas(32),CALL,0,CALL,0
texas(320),FOLD,0,FOLD,0
texas(321),CALL,0,FOLD,0
texas(322),FOLD,0,CALL,0
texas(323),FOLD,0,FOLD,0
texas(324),FOLD,0,CALL,0
texas(325),FOLD,0,FOLD,0
texas(326),FOLD,0,FOLD,0
texas(327),CALL,0,FOLD,0
texas(328),FOLD,0,CALL,0
texas(329),FOLD,0,CALL,0
texas(33),CALL,0,CALL,0
texas(330),FOLD,0,CALL,0
texas(331),FOLD,0,FOLD,0
texas(332),FOLD,0,FOLD,0
texas(333),FOLD,0,FOLD,0
texas(334),FOLD,0,CALL,0
texas(335),FOLD,0,FOLD,0
texas(336),CALL,0,FOLD,0
texas(337),FOLD,0,CALL,0
texas(338),FOLD,0,CALL,0
texas(339),FOLD,0,CALL,0
texas(34),CALL,0,CALL,0
texas(340),FOLD,0,FOLD,0
texas(341),CALL,0,FOLD,0
texas(342),FOLD,0,FOLD,0
texas(343),FOLD,0,FOLD,0
texas(344),FOLD,0,FOLD,0
texas(345),CALL,0,FOLD,0
texas(346),FOLD,0,CALL,0
texas(347),FOLD,0,CALL,0
texas(348),CALL,0,FOLD,0
texas(349),CALL,0,FOLD,0
texas(35),CALL,0,CALL,0
texas(350),FOLD,0,FOLD,0
texas(351),FOLD,0,CALL,0
texas(352),FOLD,0,CALL,0
texas(353),FOLD,0,CALL,0
texas(354),FOLD,0,FOLD,0
texas(355),CALL,0,FOLD,0
texas(356),FOLD,0,FOLD,0
texas(357),FOLD,0,CALL,0
texas(358),FOLD,0,FOLD,0
texas(359),FOLD,0,CALL,0
texas(36),CALL,0,CALL,0
texas(360),FOLD,0,FOLD,0
texas(361),FOLD,0,FOLD,0
texas(362),FOLD,0,CALL,0
texas(363),FOLD,0,FOLD,0
texas(364),FOLD,0,CALL,0
texas(365),FOLD,0,CALL,0
texas(366),FOLD,0,CALL,0
texas(367),FOLD,0,CALL,0
texas(368),FOLD,0,FOLD,0
texas(369),FOLD,0,CALL,0
texas(37),CALL,0,FOLD,0
texas(370),FOLD,0,FOLD,0
texas(371),CALL,0,FOLD,0
texas(372),CALL,0,FOLD,0
texas(373),CALL,0,FOLD,0
texas(374),FOLD,0,FOLD,0
texas(375),FOLD,0,CALL,0
texas(376),FOLD,0,CALL,0
texas(377),FOLD,0,CALL,0
texas(378),FOLD,0,CALL,0
texas(379),FOLD,0,CALL,0
texas(38),CALL,0,CALL,0
texas(380),FOLD,0,CALL,0
texas(381),FOLD,0,CALL,0
texas(382),FOLD,0,CALL,0
texas(383),CALL,0,FOLD,0
texas(384),CALL,0,FOLD,0
texas(385),FOLD,0,CALL,0
texas(386),FOLD,0,FOLD,0
texas(387),FOLD,0,CALL,0
texas(388),FOLD,0,CALL,0
texas(389),FOLD,0,FOLD,0
texas(39),CALL,0,CALL,0
texas(390),CALL,0,FOLD,0
texas(391),CALL,0,FOLD,0
texas(392),FOLD,0,CALL,0
texas(393),FOLD,0,FOLD,0
texas(394),CALL,0,FOLD,0
texas(395),FOLD,0,CALL,0
texas(396),FOLD,0,FOLD,0
texas(397),FOLD,0,FOLD,0
texas(398),FOLD,0,FOLD,0
texas(399),FOLD,0,FOLD,0
texas(4),CALL,0,CALL,0
texas(40),CALL,0,CALL,0
texas(400),FOLD,0,FOLD,0
texas(401),FOLD,0,FOLD,0
texas(402),FOLD,0,FOLD,0
texas(403),FOLD,0,FOLD,0
texas(404),CALL,0,FOLD,0
texas(405),CALL,0,FOLD,0
texas(406),FOLD,0,FOLD,0
texas(407),CALL,0,FOLD,0
texas(408),FOLD,0,CALL,0
texas(409),FOLD,0,FOLD,0
texas(41),CALL,0,CALL,0
texas(410),CALL,0,FOLD,0
texas(411),CALL,0,FOLD,0
texas(412),FOLD,0,FOLD,0
texas(413),CALL,0,FOLD,0
texas(414),FOLD,0,FOLD,0
texas(415),FOLD,0,FOLD,0
texas(416),FOLD,0,FOLD,0
texas(417),FOLD,0,CALL,0
texas(418),FOLD,0,CALL,0
texas(419),CALL,0,FOLD,0
texas(42),CALL,0,CALL,0
texas(420),FOLD,0,FOLD,0
texas(421),FOLD,0,FOLD,0
texas(422),FOLD,0,FOLD,0
texas(423),CALL,0,FOLD,0
texas(424),FOLD,0,FOLD,0
texas(425),CALL,0,FOLD,0
texas(426),FOLD,0,FOLD,0
texas(427),FOLD,0,FOLD,0
texas(428),CALL,0,FOLD,0
texas(429),FOLD,0,FOLD,0
texas(43),CALL,0,CALL,0
texas(430),FOLD,0,FOLD,0
texas(431),FOLD,0,CALL,0
texas(432),FOLD,0,FOLD,0
texas(433),CALL,0,FOLD,0
texas(434),CALL,0,FOLD,0
texas(435),CALL,0,FOLD,0
texas(436),FOLD,0,FOLD,0
texas(437),CALL,0,FOLD,0
texas(438),CALL,0,FOLD,0
texas(439),CALL,0,FOLD,0
texas(44),CALL,0,FOLD,0
texas(440),FOLD,0,FOLD,0
texas(441),FOLD,0,CALL,0
texas(442),FOLD,0,CALL,0
texas(443),FOLD,0,FOLD,0
texas(444),CALL,0,FOLD,0
