hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
1,PREFLOP,4,0,26.75,4,0
2,PREFLOP,4,0,30.5,4,0
3,PREFLOP,4,0,29.0,4,0
3,FLOP,2,0,29.0,2,0
3,PREFLOP,2,0,45.0,2,0
4,PREFLOP,4,0,25.25,4,0
4,FLOP,3,0,31.333333333333332,3,0
4,PREFLOP,3,0,55.333333333333336,2,0
5,PREFLOP,4,0,26.75,4,0
6,PREFLOP,4,0,30.5,4,0
7,PREFLOP,4,0,29.0,4,0
8,PREFLOP,4,0,25.25,4,0
8,FLOP,3,0,31.333333333333332,3,0
8,PREFLOP,3,0,41.0,2,0
8,TURN,2,0,30.5,2,0
8,FLOP,1,0,66.0,1,0
9,PREFLOP,4,0,26.75,4,0
10,PREFLOP,4,0,30.5,4,0
11,PREFLOP,4,0,29.0,4,0
12,PREFLOP,4,0,25.25,4,0
13,PREFLOP,4,0,26.75,4,0
14,PREFLOP,4,0,30.5,4,0
15,PREFLOP,4,0,29.0,4,0
15,FLOP,2,0,34.5,2,0
15,PREFLOP,3,0,43.0,2,0
16,PREFLOP,4,0,25.25,4,0
16,FLOP,2,0,34.5,2,0
16,PREFLOP,2,0,28.0,2,0
16,TURN,2,0,30.5,2,0
16,FLOP,1,0,57.0,1,0
17,PREFLOP,4,0,26.75,4,0
